,index,count,cum_sum,cum_percent
312,Beilage 4,1386,4025135,92.77061144038771
313,"Pfanne, Wok & Co.",1368,4026503,92.8021408664692
314,Beilagen: Dessert,1363,4027866,92.83355505342024
315,Tagesaktion 1,1359,4029225,92.86487704906698
316,Linie 5,1352,4030577,92.89603770993112
317,Flammengrill,1341,4031918,92.92694484470836
318,Tagesmenü vegetarisch,1336,4033254,92.95773674035517
319,Sandwich,1336,4034590,92.988528636002
320,Studitopf,1327,4035917,93.01911310121407
321,[pizza]werkPasta,1319,4037236,93.04951318381748
322,Information,1318,4038554,93.0798902185948
323,Stärkebeilage 1,1312,4039866,93.11012896641563
324, Tagessalat ,1309,4041175,93.1402985707582
325,CampusVital,1299,4042474,93.17023769683996
326,Gemüsebar,1298,4043772,93.20015377509563
327,Dessert 2,1296,4045068,93.23002375769912
328,Speiseplan,1292,4046360,93.2598015489983
329,Frisches aus Wok und Pfanne,1287,4047647,93.28946410116706
330,Smoothies,1285,4048932,93.31908055768365
331,Essen 1 Vegetarisch,1276,4050208,93.34848958376548
332, Dessert 2 ,1274,4051482,93.37785251419515
333,Tellergericht 1,1270,4052752,93.4071232533205
334,Aktionsessen,1265,4054017,93.43627875331542
335,Tagesaktion 2,1264,4055281,93.46541120548427
336, Dessert 1 ,1264,4056545,93.49454365765311
337,Abendgericht,1259,4057804,93.52356087069155
338,Abendgericht vegetarisch,1248,4059052,93.55232455764308
339,C,1237,4060289,93.58083471850767
340,Ofenfrisch,1232,4061521,93.60922964024188
341, Gemüsebeilage 1 ,1226,4062747,93.63748627501957
342,Essen 1 vegetarisch,1223,4063970,93.66567376631902
343,Stamm II,1214,4065184,93.69365382718371
344,Veganer renner,1213,4066397,93.72161084022233
345,Kleine Theke,1211,4067608,93.74952175760878
346, Stärkebeilage 1 ,1210,4068818,93.77740962716915
347,[kœri]werk,1191,4070009,93.80485958803393
348,Angebot 5,1177,4071186,93.83198687933356
349,Süße Spezial Tagesangebot,1152,4072338,93.85853797498113
350,Alternativ,1141,4073479,93.88483554454177
351,Vegetarische Theke,1138,4074617,93.91106397062417
352,Food Angebot im Café dell’Arte,1138,4075755,93.93729239670657
353,Stamm I Vegetarisch,1134,4076889,93.96342863148462
354,Beilagen: Salat,1129,4078018,93.98944962713227
355,Mensa Klassiker,1128,4079146,94.01544757495384
356, Eintopf Mensa ,1120,4080266,94.04126114016674
357,kombinierBAR,1114,4081380,94.06693641842314
358,Aktionsessen 8,1114,4082494,94.09261169667955
359,Mittag 2,1101,4083595,94.11798735319688
360,Nordmensa-Fit,1095,4084690,94.14322472275771
361,Mensa vital,1086,4085776,94.16825466188378
362,Tellergericht vegetarisch,1085,4086861,94.19326155318379
363,Vegetarisch Vegan,1079,4087940,94.21813015752728
364,ESSEN I,1070,4089010,94.24279133143604
365,MG Nord 11:30 - 14:15 Uhr,1069,4090079,94.2674294575187
366,Pasta - 3 Gerichte zur Wahl,1065,4091144,94.29197539229705
367,Links,1055,4092199,94.31629084881456
368,[pizza]werkSalate / Vorspeisen,1052,4093251,94.34053716185382
369,[pizza]werkPizza,1039,4094290,94.364483853154
370,Dessert vorport.,1036,4095326,94.38836140097594
371,ESSEN II,1034,4096360,94.41219285314571
372,Pastatheke,1030,4097390,94.43593211401115
373,Pizza I,1030,4098420,94.45967137487658
374,Salat-/ Gemüsebuffet 100g,1028,4099448,94.48336454008985
375,Bowl,1019,4100467,94.50685027486837
376,Pasta I,1018,4101485,94.53031296182081
377,Wahlbuffet Salat,1004,4102489,94.5534529792081
378,"Snacks, Salate (€/1kg)",1003,4103492,94.57656994876929
379,Wahlbuffet Gemüsetheke,1000,4104492,94.59961777485223
380,Wahlbuffet Pastatheke,998,4105490,94.62261950528303
381,Aktionsessen 2,996,4106486,94.64557514006164
382,Beilagen: Warme speisen,992,4107478,94.66843858353592
383,Große Theke,989,4108467,94.69123288353197
384,Suppe/ Eintopf,988,4109455,94.71400413570191
385,Mensa Spezial,984,4110439,94.73668319656753
386,Salatbeilage,983,4111422,94.75933920960708
387,Klassik,982,4112404,94.78197217482052
388, Hauptgericht KM 1 ,975,4113379,94.80444380525141
389,Self-Service Grüne Mensa,971,4114350,94.82682324437795
390,Attraktiv,969,4115319,94.84915658785232
391,Wahlbuffet Schnitzel,968,4116287,94.87146688350062
392,Tagsangebot 2,962,4117249,94.89363889219241
393,Angebot des Tages,954,4118203,94.91562651827554
394,Menü 3 mit drei Beilagen,953,4119156,94.93759109653259
395,Veganes Gericht Premium,946,4120102,94.95939434000707
396,Heute am Aktionsstand,946,4121048,94.98119758348153
397,Tagesaktion .,942,4121990,95.00290863565168
398,Wochenangebot Kaffeebar,934,4122924,95.02443530521315
399,[pizza]werkPizza11-14 UhrTo-Go,930,4123854,95.04586978347028
400,Stamm III,929,4124783,95.06728121390134
401,Stärkebeilage 2,925,4125708,95.08860045302808
402,Turm 2b,922,4126630,95.10985054867655
403,Gabel / Grill,918,4127548,95.1310084530207
404,Ökobeilage,915,4128463,95.15209721388659
405,Wahlbuffet Dessert,914,4129377,95.17316292692641
406,Burger des Tages,901,4130278,95.19392901822714
407,Saison-Angebot,900,4131178,95.2146720617018
408,MA(h)l dazu,887,4132065,95.23511548343737
409,Tagesdessert,883,4132948,95.25546671386861
410,Grillteller,882,4133830,95.27579489647377
411,Wahlbuffet Wok,871,4134701,95.29586955299202
412,[kœri]werk11-14 UhrTo-Go,870,4135571,95.31592116168419
413,Vegetarisch oder Vegan,864,4136435,95.33583448341986
414,Menüvorschlag / Theke 1 + 6,861,4137296,95.35567866167727
415,WOK 2 - mit Fleisch/Fisch,854,4138150,95.37536150515211
416,Info,847,4138997,95.39488301384436
417,Abendessen,842,4139839,95.4142892834062
418,"Aufläufe, Gratin",840,4140679,95.43364945731588
419,Süße Versuchung,839,4141518,95.45298658339948
420,Wahlbuffet Gemüsebuffet vegan,837,4142355,95.47227761383091
421,Essen 12,830,4143185,95.49140730947975
422,Sonderausgabe,822,4144007,95.51035262251993
423,Menü 2 mit drei Beilagen,820,4144827,95.52925183990796
424,WORLDWIDE,815,4145642,95.54803581816556
425,Pizzastation,814,4146456,95.56679674859708
426,Bio - Essen,812,4147268,95.58551158337643
427,Beilage 5,803,4148071,95.60401898772103
428,Ökoessen,802,4148873,95.62250334423956
