,index,count,cum_sum,cum_percent,meal_super_category
1876,Angebot Food - Hopper,2,4369372,99.9845997,
1877,Angebot2,2,4369374,99.98464547,
1878,Terrasse,2,4369376,99.98469123,
1879,Weihnachtsdessert,2,4369378,99.984737,
1880,Terrasse am Grill,2,4369380,99.98478277,
1881,Angebot 2 - Nur solange der Vorrat reicht,2,4369382,99.98482853,
1882,Tagessuppe:,2,4369384,99.9848743,
1883,"Heute kein Angebot mensaVital, dafür Ausgabe Asia-Theke",2,4369386,99.98492006,
1884,Geflügel Fisch,2,4369388,99.98496583,
1885,Delicious take away #BOWL,2,4369390,99.9850116,
1886,Delicious take away #BUNT&GESUND Fleischlose Alternative,2,4369392,99.98505736,
1887,Menü 1 Weihnachtsessen,2,4369394,99.98510313,
1888,Delicious take away #PASTA,2,4369396,99.98514889,
1889,Delicious take away #PASTA Fleischlose Alternative,2,4369398,99.98519466,
1890,Unsere Azubis kochen heute für Sie,2,4369400,99.98524043,
1891,Beilagen Mensen Preis 1,2,4369402,99.98528619,
1892,! StuWe-Night !,2,4369404,99.98533196,
1893,xX cafete⁵⁵ Xx,2,4369406,99.98537772,
1894,Pasta - mensaVital - Menü,2,4369408,99.98542349,
1895,Cafeteria Angebot von 8:00-14:30 Uhr :,2,4369410,99.98546926,
1896,Cafeteria Angebot             Mo-Do 08:00 - 15:00 Uhr             Fr        08:00 - 14:30 Uhr,2,4369412,99.98551502,
1897,Beliebt &amp; Gern Gegessen,2,4369414,99.98556079,
1898,Aktionsstand .,2,4369416,99.98560656,
1899,"Bunte Salatvariation mit geriebenen Käse, gekochtem Ei und gebratene Schnitzelstreifen ( 22,A,A1,C) oder vegetarische Variation mit roter Beete und Maiskloben (9), dazu ein Brötchen( A,A1,A2) und Kräuterdressing (C,G,I,J) Infos",2,4369418,99.98565232,
1900,[pizza]werkPizza11:30-14:30 UhrTo-Go,2,4369420,99.98569809,
1901,Menü 2 ..,2,4369422,99.98574385,
1902,"Kräuterquark mit Butter und Petersilienkartoffeln, dazu Salat",2,4369424,99.98578962,
1903,Cafeteria Bratwurst,2,4369426,99.98583539,
1904,Weihnachtsmenü II,2,4369428,99.98588115,
1905,Angebot für interne Gäste,2,4369430,99.98592692,
1906,Essen w,2,4369432,99.98597268,
1907,Aktionstjheke,2,4369434,99.98601845,
1908,Mensa schließt früher,2,4369436,99.98606422,
1909,Eintopf /( Suppe,2,4369438,99.98610998,
1910,Ökoessen 5,2,4369440,99.98615575,
1911,Essen M1,2,4369442,99.98620152,
1912,Essen M2,2,4369444,99.98624728,
1913,Grillfest: Vegane Tortellini,2,4369446,99.98629305,
1914,Änderungen vorbehalten !,2,4369448,99.98633881,
1915,Kartoffeln und Co. Stärke,2,4369450,99.98638458,
1916,Bio-Gemüse,2,4369452,99.98643035,
1917,Bio-Stärkebeilage,2,4369454,99.98647611,
